#UID	CUI
2726	C0006161
2728	C0006168
2730	C0006181
2732	C0006246
2735	C0006264
2736	C0006277
2737	C0006285
2738	C0006287
2745	C0006359
2747	C0006364
2749	C0006376
2752	C0006384
2755	C0006401
2760	C0006481
2763	C0006491
2764	C0006509
2767	C0006525
2769	C0006542
2772	C0006617
2773	C0006625
2778	C0006681
2781	C0006709
2782	C0006714
2783	C0006716
2784	C0006724
2793	C0006790
2795	C0006795
2796	C0006796
2804	C0006848
2805	C0006852
2807	C0006868
2811	C0006895
2817	C0006945
2818	C0006947
2820	C0006973
2823	C0006979
2824	C0006987
2825	C0007001
2829	C0007026
2838	C0007095
2839	C0007102
2840	C0007103
2841	C0007118
2842	C0007128
2843	C0007129
2844	C0007130
2847	C0007220
2848	C0007222
2850	C0007248
2853	C0007279
2856	C0007286
2861	C0007361
2862	C0007384
2864	C0007044
2865	C0007077
2866	C0007078
2867	C0007097
2868	C0007107
2869	C0007115
2870	C0007117
2871	C0007120
2872	C0007121
2873	C0007135
2874	C0007137
2875	C0007138
2876	C0007140
2877	C0007166
2879	C0007192
2880	C0007193
2881	C0007194
2890	C0007271
2892	C0007273
2894	C0007299
2895	C0007310
2904	C0007398
2906	C0007417
2916	C0007459
2918	C0007462
2921	C0007527
2922	C0007528
2942	C0007659
2946	C0007665
2948	C0007684
2951	C0007722
2955	C0007751
2956	C0007761
2960	C0007766
2963	C0007774
2970	C0007867
2971	C0007868
2972	C0007871
2974	C0007901
2975	C0007910
2980	C0007959
2992	C0008031
2993	C0008043
2995	C0008049
2998	C0008066
3008	C0008129
3013	C0008153
3016	C0008163
3018	C0008188
3024	C0008232
3027	C0008249
3029	C0008278
3031	C0008290
3032	C0008292
3035	C0008312
3036	C0008313
3037	C0008340
3039	C0008350
3042	C0008372
3043	C0008373
3047	C0008404
3048	C0008405
3049	C0008427
3050	C0008428
3052	C0008445
3054	C0008479
3055	C0008493
3056	C0008495
3057	C0008500
3059	C0008523
3070	C0008577
3073	C0008628
3074	C0008629
3084	C0008677
3085	C0008680
3086	C0008711
3087	C0008712
3088	C0008728
3093	C0008767
3096	C0008793
3100	C0008849
3103	C0008909
3105	C0008920
3107	C0008925
3108	C0008931
3115	C0008994
3117	C0009014
3119	C0009021
3121	C0009025
3122	C0009033
3123	C0009034
3127	C0009073
3128	C0009079
3130	C0009081
3131	C0009090
3132	C0009156
3135	C0009170
3136	C0009171
3137	C0009186
3138	C0009187
3139	C0009188
3142	C0009225
3148	C0009262
3157	C0009326
3163	C0009356
3165	C0009375
3166	C0009376
3167	C0009377
3170	C0009402
3171	C0009404
3178	C0009442
3179	C0009443
3190	C0009500
3191	C0009546
3192	C0009574
3202	C0009691
3207	C0009759
3208	C0009761
3209	C0009768
3210	C0009769
3211	C0009773
3212	C0009774
3213	C0009789
3226	C0009909
3227	C0009917
3230	C0009946
3231	C0009951
3232	C0009952
3236	C0009979
3238	C0009995
3239	C0010004
3240	C0010007
3242	C0010037
3246	C0010084
3256	C0010194
3258	C0010209
3260	C0010215
3261	C0010232
3263	C0010267
3286	C0007468
3288	C0007536
3291	C0007570
3302	C0007621
3305	C0007681
3306	C0007682
3319	C0007771
3320	C0007780
3321	C0007785
3322	C0007786
3324	C0007795
3325	C0007798
3327	C0007805
3330	C0007814
3331	C0007815
3333	C0007839
3334	C0007847
3337	C0007856
3338	C0007860
3339	C0007862
3341	C0007894
3343	C0007906
3344	C0007907
3347	C0007965
3349	C0007971
3357	C0008033
3359	C0008039
3362	C0008055
3364	C0008060
3367	C0008073
3368	C0008087
3371	C0008090
3383	C0008174
3384	C0008195
3385	C0008198
3387	C0008214
3388	C0008221
3389	C0008223
3392	C0008271
3393	C0008282
3394	C0008283
3395	C0008297
3396	C0008298
3398	C0008303
3399	C0008304
3401	C0008318
3404	C0008362
3412	C0008402
3413	C0008411
3416	C0008454
3420	C0008489
3427	C0008521
3428	C0008522
3434	C0008582
3437	C0008589
3438	C0008593
3441	C0008626
3443	C0008631
3453	C0008679
3454	C0008681
3455	C0008683
3458	C0008721
3460	C0008736
3462	C0008758
3466	C0008777
3467	C0008780
3470	C0008809
3486	C0008928
3497	C0009028
3502	C0009071
3503	C0009088
3504	C0009117
3511	C0009181
3516	C0009213
3517	C0009214
3519	C0009239
3522	C0009250
3532	C0009324
3542	C0009398
3545	C0009440
3549	C0009460
3573	C0009568
3587	C0009676
3588	C0009677
3590	C0009766
3593	C0009812
3600	C0009873
3601	C0009908
3602	C0009910
3603	C0009911
3606	C0009940
3609	C0009983
3617	C0010034
3618	C0010035
3619	C0010036
3622	C0010051
3623	C0010054
3624	C0010068
3625	C0010072
3626	C0010073
3627	C0010074
3632	C0010132
3634	C0010153
3644	C0010203
3650	C0010261
3652	C0010285
3664	C0010346
3665	C0010353
3668	C0010380
3671	C0010392
3673	C0010403
3676	C0010406
3679	C0010463
3680	C0010464
3681	C0010481
3685	C0010927
3686	C0010930
3688	C0010976
3695	C0011052
3697	C0011087
3701	C0011124
3705	C0011164
3708	C0011182
3709	C0011184
3710	C0011195
3715	C0011253
3719	C0011302
3720	C0011304
3721	C0011311
3723	C0011317
3729	C0011346
3730	C0011351
3735	C0011383
3746	C0011434
3748	C0011448
3761	C0011542
3763	C0011573
3765	C0011588
3767	C0011606
3768	C0011636
3770	C0011644
3772	C0011701
3777	C0011786
3778	C0011787
3779	C0011789
3780	C0011793
3781	C0011795
3783	C0011800
3784	C0011816
3786	C0011884
3795	C0011947
3796	C0011951
3797	C0011953
3800	C0011998
3801	C0011999
3803	C0012010
3805	C0012022
3808	C0012054
3810	C0012075
3813	C0012102
3817	C0012125
3822	C0012191
3826	C0012232
3827	C0012237
3828	C0012242
3830	C0012289
3835	C0012390
3836	C0012422
3837	C0012444
3838	C0012446
3843	C0012472
3847	C0012495
3854	C0012528
3856	C0012554
3857	C0012556
3858	C0012561
3861	C0012586
3866	C0012624
3867	C0012628
3870	C0012733
3871	C0012746
3875	C0012789
3876	C0012792
3877	C0012814
3878	C0012819
3879	C0012847
3880	C0012860
3892	C0012961
3893	C0012968
3895	C0012979
3897	C0012987
3899	C0013015
3904	C0013085
3922	C0013230
3923	C0013240
3925	C0013264
3931	C0013336
3933	C0013366
3934	C0013369
